item_id,restaurant_id,item_name,food_type,price,calories
101,47,Coconut Ice Cream,vegetarian,NaN,500
102,93,Vegetable Pakoras,Veg,NaN,1000
103,24,Wonton soup,non-vegetarian,NaN,400
104,23,Spring rolls,Non-veg,NaN,500
105,77,Chinotto,vegetarian,NaN,500
106,45,Rad Na noodles,non-vegetarian,NaN,1000
107,62,Lasagna,non-vegetarian,NaN,500
108,3,Lamb Seekh Kebab,Non-Veg,NaN,500
109,98,Panzerotti ,veg,NaN,500
110,65,Crab Rangoon,non-vegetarian,NaN,1000
111,68,Cannoli,Veg,NaN,900
112,3,Mooncake,Non-veg,NaN,600
113,85,Mutton Korma,non-veg,NaN,1000
114,21,Mulligatawny Soup,non-veg,NaN,300
115,22,Gai Med Ma Moung,non-veg,NaN,1000
116,2,Peking duck,Non-veg,NaN,1000
117,85,Chicken Saagwala,Non-veg,NaN,1500
118,91,Vermentino,veg,NaN,1200
119,6,Green curry,veg,NaN,120
120,59,Spring rolls,Non-veg,NaN,500
121,66,Fried calamari,non-veg,NaN,400
122,87,Pla Meuk Pad Prik,non-veg,NaN,1200
123,37,Kung Pao chicken,Non-veg,NaN,NULL
124,47,Aloo Paratha,Veg,NaN,600
125,76,Spaghetti with meatballs,non-veg,NaN,1400
126,48,Pepperoni pizza,Non-Veg,NaN,1500
127,37,Peking duck,Non-veg,NaN,1000
128,72,Vegetable lo mein,Veg,NaN,100
129,65,Dim sum (various types),Non-veg,NaN,500
130,40,Pot stickers,Non-veg,NaN,200
131,100,Mixed Vegetable Salad,veg,NaN,80
132,51,Bellini,veg,NaN,400
133,10,Panang Nuea,non-veg,NaN,200
134,42,Moo shu pork,Non-veg,NaN,NULL
135,1,Papadum,veg,NaN,1500
136,77,Chinotto,veg,NaN,1000
137,49,Peking duck,Non-veg,NaN,NULL
138,6,Khao Man Gai,non-veg,NaN,1300
139,11,Fiano di Avellino,veg,NaN,NULL
140,23,Szechuan chicken,Non-Veg,NaN,1600
141,85,Garlic Naan,Veg,NaN,700
142,52,Vegetable lo mein,Veg,NaN,120
143,2,Korean-style fried chicken,Non-veg,NaN,NULL
144,71,Butter Chicken,Non-veg,NaN,900
145,79,Mutton Biryani,non-veg,NaN,800
146,95,Pad Sator,Non-veg,NaN,600
147,86,Pla Too,non-veg,NaN,800
148,68,Affogato,veg,NaN,500
149,57,Gazzosa,Veg,NaN,800
150,82,Italian Wedding Soup,non-veg,NaN,500
151,97,Focaccia,veg,NaN,400
152,55,Pot stickers,Non-veg,NaN,200
153,30,Kang Panang,non-veg,NaN,380
154,55,Shrimp fried rice,Non-veg,NaN,600
155,48,Shrimp fra diavolo,non-veg,NaN,900
156,36,Schiacciata,veg,NaN,600
157,51,Cosmopolitan,veg,NaN,900
158,71,Chicken Kebab Salad,non-veg,NaN,1000
159,27,Piadina,non-veg,NaN,500
160,31,Moo shu pork,Non-veg,NaN,800
161,78,Korean-style fried chicken,Non-veg,NaN,800
162,72,Beef and broccoli,Non-veg,NaN,700
163,49,Shrimp fried rice,Non-veg,NaN,500
164,50,Lamb Vindaloo,non-veg,NaN,600
165,100,Samosa Sandwich,Veg,NaN,400
166,48,Cozze al vino bianco,Non-Veg,NaN,500
167,18,Crab Rangoon,Non-veg,NaN,1000
168,93,Peshwari Naan,Veg,NaN,1200
169,15,Shrimp fried rice,Non-veg,NaN,500
170,70,Prosciutto pizza,Non-Veg,NaN,1000
171,38,Kung Pao chicken,Non-veg,NaN,1200
172,74,Gnocchi,veg,NaN,1100
173,15,Peking duck,Non-veg,NaN,700
174,8,Nam Tok,non-veg,NaN,600
175,15,Pot stickers,Non-veg,NaN,200
176,68,Bellini,veg,NaN,400
177,82,Frappato,Non-veg,NaN,500
178,94,Pappa al Pomodoro,veg,NaN,600
179,8,Khao Soi Gai,Non-Veg,NaN,400
180,10,Pad Kra Pao,non-veg,NaN,300
181,30,Pad Prik King,non-veg,NaN,400
182,14,Mutton Korma,non-veg,NaN,900
183,11,Cozze al vino bianco,Non-Veg,NaN,1000
184,92,Stracciatella alla Romana,non-veg,NaN,1000
185,73,Keema Naan,Non-Veg,NaN,1600
186,48,Seafood risotto,Non-Veg,NaN,800
187,10,Miang Kham,veg,NaN,NULL
188,59,Egg drop soup,Non-veg,NaN,100
189,95,Tod Man Pla,non-veg,NaN,800
190,82,Beef carpaccio,non-veg,NaN,NULL
191,17,Crab Rangoon,Non-veg,NaN,900
192,68,Minestrone soup,Non-Veg,NaN,900
193,27,Calzone,Non-Veg,NaN,600
194,18,Peking duck,Non-veg,NaN,400
195,26,Brodetto,non-veg,NaN,NULL
196,43,Tom Yum fried rice,non-veg,NaN,600
197,48,Arancini,Veg,NaN,NULL
198,72,Kung Pao chicken,Non-veg,NaN,1100
199,40,Kung Pao chicken,Non-veg,NaN,1100
200,31,Dan dan noodles,Non-veg,NaN,600
201,56,Aloo Gobi,Veg,NaN,200
202,69,Spring rolls,Non-veg,NaN,500
203,64,Poori,Veg,NaN,250
204,69,Korean-style fried chicken,Non-veg,NaN,1300
205,56,Chicken Saagwala,Non-veg,NaN,900
206,41,Acquacotta,Non-Veg,NaN,300
207,56,Mango Lassi,Veg,NaN,NULL
208,26,Shrimp scampi,Non-Veg,NaN,400
209,55,Peking duck,Non-veg,NaN,500
210,51,Zuppa Toscana,Non-Veg,NaN,600
211,62,Chicken Francese,Non-Veg,NaN,1000
212,50,Peas Pulao,Veg,NaN,200
213,11,Margherita pizza,Veg,NaN,1500
214,28,Seafood pizza,Non-Veg,NaN,1000
215,93,Chicken Jalfrezi,Non-veg,NaN,1100
216,69,Spring rolls,Non-veg,NaN,300
217,15,Dan dan noodles,Non-veg,NaN,300
218,46,Italian soda,Veg,NaN,150
219,68,Cozze al vino bianco,Non-Veg,NaN,900
220,46,Seafood risotto,Non-Veg,NaN,500
221,40,Dim sum (various types),Non-veg,NaN,120
222,47,Naan,Veg,NaN,400
223,64,Garlic Naan,Veg,NaN,600
224,56,Kashmiri Naan,Veg,NaN,300
225,42,Dan dan noodles,Non-veg,NaN,NULL
226,55,Beef and broccoli,Non-veg,NaN,900
227,100,Kashmiri Naan,Veg,NaN,300
228,100,Lamb Biryani,Non-veg,NaN,600
229,63,Laab Ped,Non-Veg,NaN,500
