order_id,customer_id,order_date,order_time,delivered_date,delivered_time,delivery_address,driver_id,total_price,delivery_fee,discount,final_price,order_rating
1,7420,6/1/2022 0:00,0:03:00,6/1/2022,0:16:00,7 Cedar Lane,93,150,0,30,120,3.5554637033425025
2,1895,6/1/2022 0:00,0:04:00,6/1/2022,0:18:00,7 Lexington Place,138,9,5,0,14,5
3,6651,6/1/2022 0:00,0:05:00,6/1/2022,0:20:00,20 Linden Lane,187,117,0,23.4,93.6,3.393488878617012
4,9032,6/1/2022 0:00,0:05:00,6/1/2022,0:24:00,6 Rosedale Avenue,10,105,0,21,84,5
5,2479,6/1/2022 0:00,0:06:00,6/1/2022,0:34:00,36 Cherrywood Lane,219,27,2.5,5.4,24.1,3.7930482971558623
6,6040,6/1/2022 0:00,0:16:00,6/1/2022,0:37:00,68 Broad Street,165,9,5,0,14,4.461140405622185
7,2977,6/1/2022 0:00,0:17:00,6/1/2022,0:43:00,26 Belmont Avenue,142,27,2.5,5.4,24.1,5
8,2837,6/1/2022 0:00,0:22:00,6/1/2022,0:44:00,8 Vine Street,199,16,5,0,21,5
9,7433,6/1/2022 0:00,0:36:00,6/1/2022,0:48:00,48 Maple Avenue,26,28,2.5,2.8000000000000003,27.7,4.503540050037341
10,3336,6/1/2022 0:00,0:40:00,6/1/2022,1:00:00,59 Hillcrest Road,143,16,5,1.6,19.4,2.9924665514366224
11,8800,6/1/2022 0:00,0:42:00,6/1/2022,1:01:00,33 Highland Place,244,18,5,1.8,21.2,5
12,8026,6/1/2022 0:00,0:45:00,6/1/2022,1:03:00,33 Forest Avenue,147,150,0,30,120,3.5455788533348613
13,676,6/1/2022 0:00,0:46:00,6/1/2022,1:04:00,76 Linden Avenue,174,33,0,6.6000000000000005,26.4,4.894813853221054
14,1378,6/1/2022 0:00,0:49:00,6/1/2022,1:09:00,41 Oak Street,177,9,5,0,14,5
15,6585,6/1/2022 0:00,0:51:00,6/1/2022,1:11:00,37 Meadowbrook Road,122,9,5,0,14,2.795856471344792
16,9327,6/1/2022 0:00,0:53:00,6/1/2022,1:16:00,59 Pineview Road,150,16,5,1.6,19.4,3.5562907315137764
17,5272,6/1/2022 0:00,0:57:00,6/1/2022,1:17:00,51 Fairway Drive,109,10,5,0,15,4.935920017521751
18,3549,6/1/2022 0:00,1:05:00,6/1/2022,1:20:00,23 Eastwood Drive,9,14,5,1.4,17.6,4.545212085181561
19,977,6/1/2022 0:00,1:06:00,6/1/2022,1:23:00,16 Parkview Road,228,150,0,30,120,5
20,7834,6/1/2022 0:00,1:10:00,6/1/2022,1:25:00,7 Sunnyside Road,143,6,5,0.6000000000000001,10.4,4.812468436742796
21,8119,6/1/2022 0:00,1:13:00,6/1/2022,1:26:00,9 Locust Street,123,18,5,3.6,19.4,5
22,5656,6/1/2022 0:00,1:13:00,6/1/2022,1:33:00,20 Brookside Avenue,86,24,3,2.4000000000000004,24.6,5
23,1949,6/1/2022 0:00,1:18:00,6/1/2022,1:36:00,74 Elmwood Terrace,151,100,0,10,90,3.086424419256181
24,247,6/1/2022 0:00,1:18:00,6/1/2022,1:36:00,21 Magnolia Avenue,209,20,3,2,21,5
25,3792,6/1/2022 0:00,1:22:00,6/1/2022,1:45:00,11 Pine Street,51,26,2.5,2.6,25.9,5
26,4584,6/1/2022 0:00,1:23:00,6/1/2022,1:49:00,13 Ridgewood Road,190,15,5,0,20,3.1157555821493204
27,6441,6/1/2022 0:00,1:29:00,6/1/2022,1:49:00,55 Cherry Hill Road,21,60,0,12,48,5
28,700,6/1/2022 0:00,1:29:00,6/1/2022,1:50:00,45 Beech Street,214,30,0,6,24,5
29,9901,6/1/2022 0:00,1:35:00,6/1/2022,1:51:00,47 Eastwood Drive,83,9,5,1.8,12.2,5
30,9036,6/1/2022 0:00,1:37:00,6/1/2022,1:52:00,56 Parkview Road,247,48,0,9.6,38.4,4.201772933150893
31,2872,6/1/2022 0:00,1:39:00,6/1/2022,1:52:00,18 Chestnut Avenue,126,7,5,0,12,3.4491314828724606
32,8646,6/1/2022 0:00,1:42:00,6/1/2022,1:57:00,7 Cherry Hill Road,104,18,5,3.6,19.4,5
33,712,6/1/2022 0:00,1:42:00,6/1/2022,2:02:00,28 Springdale Road,210,150,0,30,120,5
34,248,6/1/2022 0:00,1:42:00,6/1/2022,2:02:00,42 Fairmount Road,230,30,0,6,24,2.513707924685753
35,9465,6/1/2022 0:00,1:44:00,6/1/2022,2:06:00,27 Oakwood Drive,225,22,3,2.2,22.8,3.0024008136526086
36,9086,6/1/2022 0:00,1:46:00,6/1/2022,2:09:00,11 Hillcrest Road,34,8,5,0,13,4.876597397356504
37,2926,6/1/2022 0:00,1:51:00,6/1/2022,2:11:00,41 Chestnut Street,153,9,5,1.8,12.2,4.710885715027498
38,7649,6/1/2022 0:00,1:51:00,6/1/2022,2:15:00,58 Oakwood Lane,249,19,5,0,24,4.9509216463008965
39,1706,6/1/2022 0:00,2:03:00,6/1/2022,2:18:00,55 Fairmount Road,198,18,5,0,23,3.208902417885588
40,7561,6/1/2022 0:00,2:06:00,6/1/2022,2:29:00,77 Washington Avenue,159,3,5,0,8,3.276578740633885
41,5128,6/1/2022 0:00,2:10:00,6/1/2022,2:30:00,38 Grant Street,217,24,3,4.800000000000001,22.2,5
42,8794,6/1/2022 0:00,2:11:00,6/1/2022,2:30:00,4 Rosedale Avenue,63,9,5,0,14,5
43,1005,6/1/2022 0:00,2:12:00,6/1/2022,2:31:00,24 Cherry Hill Road,116,34,0,3.4000000000000004,30.6,3.5361246217281344
44,9997,6/1/2022 0:00,2:18:00,6/1/2022,2:32:00,41 Riverside Drive,201,105,0,21,84,2.704394999595246
45,8267,6/1/2022 0:00,2:19:00,6/1/2022,2:35:00,64 Pinehurst Drive,56,24,3,2.4000000000000004,24.6,2.5170343032213216
46,3034,6/1/2022 0:00,2:29:00,6/1/2022,2:44:00,11 Pineview Drive,16,26,2.5,2.6,25.9,5
47,8067,6/1/2022 0:00,2:29:00,6/1/2022,2:48:00,42 Cedar Street,126,24,3,4.800000000000001,22.2,2.6150007371763064
48,4710,6/1/2022 0:00,2:30:00,6/1/2022,2:49:00,58 Park Lane,202,21,3,4.2,19.8,3.654865022849436
49,8461,6/1/2022 0:00,2:34:00,6/1/2022,2:52:00,37 Beechwood Road,4,6,5,0.6000000000000001,10.4,3.465350225514733
50,4746,6/1/2022 0:00,2:37:00,6/1/2022,2:52:00,43 Magnoli,204,50,0,0,50,5
51,8028,6/1/2022 0:00,2:38:00,6/1/2022,2:53:00,75 Linden Avenue,158,5,5,0,10,5
52,2952,6/1/2022 0:00,2:39:00,6/1/2022,2:56:00,44 Sunset Drive,2,68,0,6.800000000000001,61.2,2.517674284568765
53,6892,6/1/2022 0:00,2:41:00,6/1/2022,3:00:00,77 Northview Terrace,129,18,5,1.8,21.2,4.800065834989113
54,1659,6/1/2022 0:00,2:41:00,6/1/2022,3:03:00,50 Linden Lane,115,100,0,10,90,3.846195323899503
55,67,6/1/2022 0:00,2:42:00,6/1/2022,3:08:00,14 Meadow Lane,38,45,0,9,36,5
56,8454,6/1/2022 0:00,2:43:00,6/1/2022,3:08:00,34 Vine Street,127,10,5,1,14,5
57,3546,6/1/2022 0:00,2:46:00,6/1/2022,3:09:00,5 Yorktown Road,193,26,2.5,2.6,25.9,4.970220235108089
58,4650,6/1/2022 0:00,2:50:00,6/1/2022,3:11:00,54 Ashland Avenue,236,3,5,0,8,5
59,3174,6/1/2022 0:00,2:51:00,6/1/2022,3:13:00,22 Parkview Avenue,46,66,0,13.2,52.8,4.965372272949094
60,3983,6/1/2022 0:00,2:54:00,6/1/2022,3:15:00,79 Meadow Lane,147,76,0,7.6,68.4,5
61,6207,6/1/2022 0:00,2:57:00,6/1/2022,3:18:00,37 Elmwood Terrace,7,9,5,1.8,12.2,5
62,9415,6/1/2022 0:00,3:02:00,6/1/2022,3:20:00,70 Maplewood Drive,131,26,2.5,2.6,25.9,2.936588085888579
63,5560,6/1/2022 0:00,3:03:00,6/1/2022,3:26:00,35 Fairway Drive,225,40,0,4,36,3.070990082920892
64,6993,6/1/2022 0:00,3:09:00,6/1/2022,3:29:00,8 Sycamore Street,193,12,5,1.2000000000000002,15.8,5
65,2495,6/1/2022 0:00,3:14:00,6/1/2022,3:31:00,29 Vineyard Drive,60,24,3,2.4000000000000004,24.6,3.9637522039722577
