order_id,item_id,quantity
1,176,3
2,108,1
3,339,3
4,380,1
4,108,1
4,299,1
5,321,3
6,216,1
7,377,1
7,274,1
7,262,1
8,370,1
9,198,1
9,312,1
10,131,2
11,185,1
11,346,1
12,325,1
12,111,1
12,349,1
13,270,3
14,377,1
15,377,1
16,359,2
17,170,1
18,213,1
18,151,1
19,188,3
20,164,1
20,292,1
21,322,3
22,204,2
23,347,2
24,342,1
24,374,1
25,290,1
25,310,1
26,303,1
27,341,1
27,283,1
27,306,1
28,342,1
28,158,1
28,395,1
29,162,3
30,179,1
30,242,1
30,326,1
31,368,1
32,351,3
33,340,3
34,126,3
35,334,2
36,150,1
37,162,3
38,399,1
39,350,1
40,194,1
41,235,3
42,256,1
43,378,2
44,359,1
44,337,1
44,380,1
45,119,2
46,224,2
47,231,3
48,110,3
49,303,1
49,269,1
50,188,1
51,107,1
52,111,2
53,108,1
53,384,1
54,332,2
55,142,1
55,379,1
55,326,1
56,372,1
56,346,1
57,338,2
58,189,1
59,342,1
59,376,1
59,289,1
60,353,2
61,160,3
62,390,2
63,306,2
64,322,2
65,400,1
65,125,1
66,344,1
67,110,3
68,381,3
69,257,1
70,229,1
71,361,1
71,144,1
72,168,1
72,303,1
72,180,1
73,152,3
74,227,1
74,165,1
74,178,1
75,243,1
76,363,2
77,229,1
77,221,1
77,259,1
78,176,3
79,270,1
80,165,2
81,365,1
81,324,1
82,380,1
82,236,1
83,182,1
84,155,1
85,346,1
85,359,1
85,363,1
86,101,3
87,101,1
88,198,1
88,260,1
89,267,2
90,333,3
91,257,1
91,237,1
92,349,2
93,241,2
94,123,1
95,108,1
95,310,1
96,172,1
97,297,2
98,215,2
99,201,1
99,209,1
99,332,1
100,150,2
101,301,1
101,231,1
102,347,1
102,391,1
102,262,1
103,368,2
104,109,1
105,278,1
106,309,1
107,268,1
107,360,1
108,204,3
109,331,1
109,205,1
109,326,1
110,137,1
111,270,3
112,365,1
113,178,1
114,360,1
114,246,1
115,167,1
116,274,1
116,335,1
116,354,1
117,226,3
118,346,1
118,114,1
119,375,1
120,161,2
121,151,1
121,269,1
122,335,1
123,199,1
123,199,1
123,246,1
124,225,1
125,111,3
126,187,1
127,144,1
127,286,1
128,253,3
129,367,1
130,264,2
131,136,1
131,331,1
132,243,1
132,205,1
132,302,1
133,104,1
133,380,1
133,148,1
134,277,1
135,223,3
136,241,1
137,209,1
137,223,1
138,349,3
139,303,1
140,182,1
141,191,1
141,294,1
142,212,3
143,247,1
144,246,1
145,130,1
145,329,1
146,283,1
146,135,1
147,385,3
148,340,1
148,299,1
149,287,1
149,385,1
149,147,1
150,231,1
151,180,2
152,143,1
153,142,1
153,275,1
153,225,1
154,342,3
155,177,1
155,239,1
155,346,1
156,239,1
156,239,1
157,268,1
158,136,1
158,356,1
158,250,1
159,223,1
159,191,1
160,102,1
160,341,1
161,359,1
162,236,1
163,255,1
164,146,1
164,170,1
165,342,3
166,343,3
167,351,1
168,203,1
168,210,1
168,327,1
169,333,1
169,282,1
169,142,1
170,307,1
170,183,1
171,389,1
171,336,1
172,218,1
172,249,1
173,101,2
174,259,3
175,233,3
176,340,1
176,182,1
176,357,1
177,399,1
178,146,1
179,309,2
180,116,1
180,136,1
180,265,1
181,108,2
182,208,2
183,271,1
184,378,1
185,364,3
186,214,2
187,160,1
187,328,1
188,279,1
189,260,1
189,373,1
190,152,1
190,266,1
191,296,1
192,345,1
193,163,1
193,257,1
194,290,1
194,323,1
194,186,1
195,267,1
196,221,1
197,178,1
198,127,2
199,278,1
200,372,1
201,221,1
201,285,1
201,288,1
202,342,1
202,206,1
202,336,1
203,168,1
204,136,3
205,185,1
