restaurant_id,restaurant_name,cuisine,address
1,L'Artusi,Italian,""3540 7th Ave"
2,"Loring Place",Chinese,""6947 4th Ave"
3,"Café China",Chinese,""9675 7th Ave"
4,"Minetta Tavern",Thai,""609 2nd Ave"
5,Carbone,Chinese,""871 8th Ave"
6,Upland,Thai,""3731 3rd Ave"
7,"Casa Mono",Chinese,""1499 10th Ave"
8,"Pasquale Jones",Thai,""9761 4th Ave"
9,"Frankies 457 Spuntino",Italian,""3817 8th Ave"
10,"Hwa Yuan Szechuan",Thai,""1261 6th Ave"
11,Rubirosa,Italian,""5979 5th Ave"
12,"Mission Chinese Food",Chinese,""3389 8th Ave"
13,"Roberta's Pizza",Italian,""5213 10th Ave"
14,Raoul's,Indian,""3167 1st Ave"
15,SriPraPhai,Chinese,""5710 6th Ave"
16,"La Vara",Italian,""3796 9th Ave"
17,"Chez Ma Tante",Chinese,""7162 5th Ave"
18,"Uncle Boons",Chinese,""4968 5th Ave"
19,AbcV,Chinese,""496 4th Ave"
20,Cervo's,Italian,""7513 4th Ave"
21,"Via Carota",Italian,""7587 5th Ave"
22,Atla,Thai,""9168 8th Ave"
23,Tacombi,Chinese,""1586 9th Ave"
24,Balthazar,Chinese,""5431 4th Ave"
25,"Cafe Mogador",Chinese,""5069 1st Ave"
26,"El Rey",Italian,""7461 8th Ave"
27,Barbuto,Italian,""7858 10th Ave"
28,"Jack's Wife Freda",Italian,""7910 2nd Ave"
29,"Eataly NYC Downtown",Italian,""2679 2nd Ave"
30,"The Mermaid Inn",Thai,""7934 7th Ave"
31,"Bar Pitti",Chinese,""4760 8th Ave"
32,Peasant,Indian,""7884 8th Ave"
33,Shuka,Thai,""4176 9th Ave"
34,"Il Buco",Italian,""2392 2nd Ave"
35,Buvette,Italian,""9300 8th Ave"
36,"Estiatorio Milos",Italian,""5475 2nd Ave"
37,Hearth,Chinese,""1075 6th Ave"
38,"Charlie Bird",Chinese,""472 1st Ave"
39,"Babbo Pizzeria e Enoteca",Italian,""1654 1st Ave"
40,"Mimi Cheng's",Chinese,""9450 7th Ave"
41,"Cote Korean Steakhouse",Italian,""6653 3rd Ave"
42,"Jeju Noodle Bar",Chinese,""4163 7th Ave"
43,"I Sodi",Thai,""4568 10th Ave"
44,Empellon,Italian,""7925 5th Ave"
45,"Cote Basque Wine House",Thai,""9347 5th Ave"
46,"Gotham Bar and Grill",Italian,""5235 7th Ave"
47,Diner,Indian,""6955 7th Ave"
48,"Eataly NYC Flatiron",Italian,""4622 6th Ave"
49,"Llama San",Chinese,""8104 9th Ave"
50,"Adda Indian Canteen",Indian,""3481 7th Ave"
51,Cosme,Italian,""2279 2nd Ave"
52,Cote,Chinese,""7256 4th Ave"
53,"Llama Inn",Chinese,""2794 4th Ave"
54,Ops,Chinese,""8933 8th Ave"
55,"Superiority Burger",Chinese,""3098 10th Ave"
56,"The Modern",Indian,""2960 3rd Ave"
57,Marea,Italian,""3480 8th Ave"
58,"Le Coucou",Italian,""3275 4th Ave"
59,"Hao Noodle",Chinese,""2535 2nd Ave"
60,Frenchette,Italian,""9622 1st Ave"
61,Kiki's,Thai,""7958 10th Ave"
62,"Don Angie",Italian,""9969 5th Ave"
63,"Scarr's Pizza",Thai,""1893 8th Ave"
64,"Via Carota",Indian,""5378 5th Ave"
65,Lilia,Chinese,""5657 3rd Ave"
66,Balthazar,Italian,""6849 5th Ave"
67,Estela,Thai,""2756 3rd Ave"
68,"Katz's Delicatessen",Italian,""1745 2nd Ave"
69,Roberta's,Chinese,""5867 6th Ave"
70,L'Appart,Italian,""6341 4th Ave"
71,"Totto Ramen",Indian,""6710 1st Ave"
72,Bohemian,Chinese,""6126 6th Ave"
73,"Casa Enrique",Indian,""1281 3rd Ave"
74,Marta,Italian,""1752 7th Ave"
75,"Pam Real Thai",Thai,""7925 8th Ave"
76,"Joe's Pizza",Italian,""8 4th Ave"
77,"Osteria Morini",Italian,""669 7th Ave"
78,"La Newyorkina",Chinese,""2172 9th Ave"
79,"Burger Joint",Indian,""6913 10th Ave"
80,Roberta's,Italian,""1441 1st Ave"
81,Santina,Thai,""2674 9th Ave"
82,"Le Bernardin",Italian,""905 4th Ave"
83,"Milk Bar",Indian,""9447 9th Ave"
84,"Russ & Daughters",Indian,""3396 3rd Ave"
85,"ABC Kitchen",Indian,""8749 5th Ave"
86,"Sushi Inoue",Thai,""9664 6th Ave"
87,"Sushi Yasuda",Thai,""6839 10th Ave"
88,Satsuki,Italian,""2551 2nd Ave"
89,"Lobster Club",Thai,""8069 3rd Ave"
90,"Eleven Madison Park",Chinese,""5384 1st Ave"
91,"J.G. Melon",Italian,""2701 4th Ave"
92,"Empire Diner",Italian,""334 10th Ave"
93,"Nom Wah Tea Parlor",Indian,""4266 3rd Ave"
94,"Chikalicious Dessert Bar",Italian,""772 1st Ave"
95,Ippudo,Thai,""1992 2nd Ave"
96,"Xi'an Famous Foods",Chinese,""4942 7th Ave"
97,"Di Fara Pizza",Italian,""6553 6th Ave"
98,"Via Carota",Italian,""8986 6th Ave"
99,"Egg Shop",Indian,""8519 3rd Ave"
100,"The Slanted Door",Indian,""6256 3rd Ave"
